Food;Measure;Grams;Calories
Blackberries, fresh;1 cup;144;85
Blueberries, canned;1 cup;250;245
Cherries, canned, pitted;1 cup;257;100
Fresh, raw;1 cup;114;65
Cranberry sauce,;;;
sweetened;1 cup;277;530
Strawberries, frozen;1 cup;227;242
Raw;1 cup;149;54
Raspberries, frozen;1/2 cup;100;100
Raw, red;3/4 cup;100;57
Wine;;;
Other Fruit;;;
Apricots, canned In syrup;1 cup;250;220
Dried, uncooked;1/2 cup;75;220
Apricots, Fresh;3 med.;114;55
Nectar, or juice;1 cup;250;140
Avocado;1/2 large;108;185
Cantaloupe;1/2 med.;380;40
Dates, dried;1 cup;178;505
"Figs, dried, large, 2"" by 1""";2;42;120
figs, Fresh, raw;3 med.;114;90
Stewed or canned;;;
with syrup;3;115;130
Fruit cocktail, canned;1 cup;256;195
Grapes, American, as;;;
Concord;1 cup;153;70
European, as Muscat, Tokay;1 cup;160;100
Grape juice, bottled;1 cup;250;160
Olives, green, canned;;;
Olives, large;10;65;72
Ripe, canned, large;10;65;105
Papaya, fresh;1/2 med.;200;75
Peaches, canned, sliced;1 cup;257;200
Peaches, Fresh, raw;1 med.;114;35
Pears, canned, sweetened;1 cup;255;195
Pears, Raw, 3 by 2V;1 med.;182;100
Persimmons, Japanese;1 med.;125;75
Pineapple, canned, sliced;1 large slice;122;95
Crushed;1 cup;260;205
Raw, diced;1 cup;140;75
Pineapple juice, canned;1 cup;250;120
Plums, canned in syrup;1 cup;256;185
"Plums, Raw, 2"" diameter";1;60;30
Prunes, cooked;1 cup;270;300
Prune juice, canned*;1 cup;240;170
Raisins, dried;1/2 cup;88;230
Rhubarb, cooked,;;;
sweetened;1 cup;270;385
Tangerines, fresh;1 med.;114;40
"Watermelon, 4 by 8""";1 wedge;925;120
Breads, cereals, and grains;;;
"Biscuits, 2 1/2"" diameters";1;38;130
Bran flakes;1 cup;25;117
Bread, cracked wheat;1 slice;23;60
Rye;1 slice;23;55
White, 20 slices, or;1-lb. loaf;454;1,225
Whole-wheat;1-lb. loaf;454;1,1
Whole-wheat;1 slice;23;55
Corn bread of whole;;;
ground meal;1 serving;50;100
Cornflakes;1 cup;25;110
Corn grits, refined,;;;
cooked;1 cup;242;120
Corn meal, yellow;1 cup;118;360
Crackers, graham;2 med.;14;55
Soda, 2 1/2 square;2;11;45
Farina;1 cup;238;105
Flour, soy, full fat;1 cup;110;460
Wheat (all purpose);1 cup;110;400
Wheat (whole);1 cup;120;390
Macaroni, cooked;1 cup;140;155
Baked with cheese;1 cup;220;475
Muffins of refined flour;1;48;135
Noodles;1 cup;160;200
Oatmeal, or rolled oats;1 cup;236;150
Pancakes, buckwheat,;;;
"4"" diam.";4;108;250
Wheat, refined flour,;;;
"4"" diam.";4;108;250
Pizza, cheese, 1/8 of;;;
"14"" diam.";1 section;75;180
Popcorn, with oil and;;;
salt;2 cups;28;152
Puffed rice;1 cup;14;55
Puffed wheat,;;;
presweetened;1 cup;28;105
Rice, uncooked, brown;1 cup;208;748
Converted;1 cup;187;677
White;1 cup;191;692
Rice flakes;1 cup;30;115
Rice polish;1/2 cup;50;132
Rolls, breakfast, sweet;1 large;50;411
of refined flour;1;38;115
whole-wheat;1;40;102
Spaghetti with meat sauce;1 cup;250;285
with tomatoes and cheese;1 cup;250;210
Spanish rice with meat;1 cup;250;217
Shredded wheat biscuit;1;28;100
"Waffles, 1/2"" x 4 1/2"" x 5 1/2""";1;75;240
Wheat germ;1 cup;68;245
Wheat-germ cereal,;;;
toasted;1 cup;65;260
